source,edgetype,target
Abbas Kiarostami,Location,Cannes
Abbas Kiarostami,Location,Venice
Abbas Kiarostami,Date,1999
Abbas Kiarostami,Date,2005
Abbas Kiarostami,Location,Tehran
Abdelfattah Kilito,Date,1940
Abdelfattah Kilito,Location,Morocco
Abdelfattah Kilito,Organization,Sysracuse University Press
Abdelfattah Kilito,Organization,Mohamed V University
Abdelfattah Kilito,Origin,American
Abdelfattah Kilito,Organization,University of Bordeaux
Abdelfattah Kilito,Location,France
Abdelfattah Kilito,Location,Princeton
Abdelfattah Kilito,Organization,Harvard University
José Luis Martinat,Person,Martinat
José Luis Martinat,Organization,Göteborg Museum of Art
José Luis Martinat,Location,Sweden
José Luis Martinat,Date,2010
José Luis Martinat,Organization,Museu da Cidade
José Luis Martinat,Location,Portugal
José Luis Martinat,Date,2010
José Luis Martinat,Location,Denmark
José Luis Martinat,Date,2008
José Luis Martinat,Date,2008
José Luis Martinat,Organization,Malmö Art Academy
José Luis Martinat,Date,2008
Juan Araujo,Location,Aichi
Juan Araujo,Location,Nagoya
Juan Araujo,Location,Japan
Juan Araujo,Date,2010
Juan Araujo,Location,São Paulo
Juan Araujo,Date,2009
Juan Araujo,Location,Porto Alegre
Juan Araujo,Location,Brazil
Juan Araujo,Date,2007
Juan Araujo,Organization,San Diego Museum of Art
Juan Araujo,Date,2005
Juan Araujo,Organization,
Juan Araujo,Location,Venezuela
Judith  Barry,Date,1971
Judith  Barry,Date,October 2010
Judith  Barry,Person,Judith  Barry
Judith  Barry,Address,http://www.sharjahart.org/people/people-by-alphabet/b/barry-judith
Judith  Barry,Person,Judith Barry
Judith  Barry,Location,New York
Judith  Barry,Location,United States
Judith  Barry,Location,Europe
Judith  Barry,Location,Asia
Judith  Barry,Location,Cairo
Judith  Barry,Location,Europe
Judith  Barry,Organization,Berardo Museum
Judith  Barry,Location,Lisbon
Julia Meltzer,Location,Portugal
